2008,10,1
2008,10,4
2008,10,8
2008,10,11
2008,10,15
2008,10,18
2008,10,22
2008,10,25
2008,10,29
2008,11,1
2008,11,5
2008,11,8
2009,10,3
2009,10,7
2009,10,10
2009,10,14
2009,10,17
2009,10,21
2009,11,4
2009,11,7
2010,10,2
2010,10,6
2010,10,9
2010,10,13
2010,10,16
2010,10,20
2010,10,23
2010,10,27
2010,10,30
2010,11,3
2010,11,6
2010,11,10
2011,10,1
2011,10,5
2011,10,8
2011,10,12
2011,10,15
2011,10,19
2011,10,22
2011,10,26
2011,10,29
2011,11,2
2011,11,5
2011,11,9
2011,11,12
2011,11,16
2012,10,3
2012,10,6
2012,10,10
2012,10,13
2012,10,17
2012,10,20
2012,10,24
2012,10,27
2012,10,31
2012,11,3
2012,11,7
2012,11,10
2012,11,14
2013,10,2
2013,10,5
2013,10,9
2013,10,12
2013,10,16
2013,10,19
2013,10,23
2013,10,26
2013,10,30
2013,11,2
2013,11,6
2013,11,9
2013,11,13
2013,11,16
2014,10,2
2014,10,6
2014,10,9
2014,10,13
2014,10,16
2014,10,20
2014,10,23
2014,10,27
2014,10,30
2014,11,3
2014,11,6
2014,11,10
2014,11,13
2014,11,17
2014,11,20
2015,10,1
2015,10,5
2015,10,8
2015,10,12
2015,10,15
2015,10,19
2015,10,22
2015,10,26
2015,10,29
2015,11,2
2015,11,5
2015,11,9
2015,11,12
2015,11,16
